koi_disposition,koi_prad,koi_teq,koi_period
CONFIRMED,7.34,1005,3.895936525
CONFIRMED,2.32,536,22.36646466
CONFIRMED,9.73,1579,1.625522174
FALSE POSITIVE,17.47,838,7.544039
CANDIDATE,2.57,757,9.02930689
FALSE POSITIVE,13.28,843,10.32803571
CONFIRMED,0.79,1021,6.1648760000000005
CONFIRMED,12.19,411,60.32494216
FALSE POSITIVE,25.69,1470,1.540397253
FALSE POSITIVE,1.7,918,2.99025443
CONFIRMED,11.3,1539,1.5947453740000002
CANDIDATE,2.5,886,4.783002698
CONFIRMED,2.03,656,3.340218842
FALSE POSITIVE,30.26,1326,2.507089906
CONFIRMED,3.12,701,18.64932728
CONFIRMED,2.76,870,9.75192101
CONFIRMED,4.02,550,38.557654600000006
CONFIRMED,11.58,975,3.5256325389999996
CONFIRMED,5.52,964,7.748094238999999
CONFIRMED,2.1,460,8.11437482
FALSE POSITIVE,27.5,500,38.03672948
FALSE POSITIVE,30.09,1155,4.64090031
CONFIRMED,2.89,874,14.74914825
CONFIRMED,3.38,639,21.81295996
CONFIRMED,11.01,600,15.37562369
CONFIRMED,2.11,687,8.10363271
CONFIRMED,1.46,823,4.71510843
CONFIRMED,2.44,914,6.365839713
CONFIRMED,8.99,1021,3.04033046
CONFIRMED,6.5,481,31.33046135
FALSE POSITIVE,17.61,796,9.286358079
CONFIRMED,3.06,888,13.23352214
CONFIRMED,2.32,1146,6.15560285
CONFIRMED,1.62,1642,2.090811305
CONFIRMED,1.53,1458,3.180027898
CONFIRMED,2.37,366,56.22792710000001
FALSE POSITIVE,17.06,1010,2.384052875
CONFIRMED,2.25,696,7.953547
CONFIRMED,1.48,864,4.14451656
FALSE POSITIVE,38.33,1114,4.859386384
CONFIRMED,5.39,1038,4.583520948
CONFIRMED,3.01,742,8.20396958
CONFIRMED,3.01,613,14.49645186
CANDIDATE,2.19,810,6.54626149
CONFIRMED,2.31,562,12.71809866
CONFIRMED,2.64,397,36.06588163
CONFIRMED,6.21,1234,4.190425659
CONFIRMED,4.35,1151,3.7098707839999996
CONFIRMED,3.75,727,16.3297527
CONFIRMED,13.84,554,27.80756622
CONFIRMED,7.59,452,80.87234690000001
CONFIRMED,2.29,712,24.99324319
CONFIRMED,2.47,777,10.35533116
CONFIRMED,3.68,613,16.08518937
CANDIDATE,10.59,188,235.99863990000003
CONFIRMED,3.03,445,36.27612379999999
CONFIRMED,2.32,568,17.46087931
CONFIRMED,1.94,233,56.0560754
CONFIRMED,11.38,453,41.40831669
CANDIDATE,14.21,552,39.74893077
CONFIRMED,8.2,669,49.18394185
FALSE POSITIVE,19.02,733,13.61014819
FALSE POSITIVE,2.66,667,10.44331991
CONFIRMED,1.41,1160,2.237489571
FALSE POSITIVE,14.62,901,5.851520671
CONFIRMED,2.62,1221,3.1678934180000002
CONFIRMED,3.11,1038,4.311780262
CONFIRMED,2.69,622,20.050449399999998
CONFIRMED,2.67,791,9.76734503
CANDIDATE,8.98,366,119.0207044
FALSE POSITIVE,4.37,1355,2.8611598939999996
CONFIRMED,3.91,562,26.44439337
CONFIRMED,5.51,450,51.53997972
CONFIRMED,2.43,926,5.9022457820000005
CONFIRMED,1.86,1253,2.382951591
CONFIRMED,3.07,521,21.02250608
CONFIRMED,1.69,998,3.219814777
FALSE POSITIVE,22.94,723,12.94066866
CONFIRMED,8.46,495,33.60123371
CONFIRMED,2.35,896,4.601811819
CONFIRMED,1.55,667,11.18719905
CONFIRMED,2.33,635,5.95489993
CONFIRMED,2.18,502,12.03987488
CONFIRMED,1.42,418,20.83762895
FALSE POSITIVE,63.66,1399,8.8111022
CONFIRMED,3.16,487,23.58917143
CONFIRMED,2.54,1145,6.481633072999999
CONFIRMED,3.2,720,10.37168928
CANDIDATE,1.78,992,3.96996298
CONFIRMED,4.53,236,226.8904775
FALSE POSITIVE,21.58,1109,1.956811408
CANDIDATE,12.04,929,2.6888992330000003
CONFIRMED,4.16,686,9.439459486
CONFIRMED,3.13,927,11.52306746
CONFIRMED,2.92,530,20.47748843
CONFIRMED,1.74,970,3.336123113
CONFIRMED,1.72,453,8.01078456
CONFIRMED,1.29,395,12.07134205
CONFIRMED,1.3,328,20.99587872
FALSE POSITIVE,4.14,1620,1.0007470379999999
CONFIRMED,10.51,770,8.884922995
CONFIRMED,8.95,986,8.09888906
CONFIRMED,3.52,876,10.00653012
CONFIRMED,13.16,911,17.85522168
CANDIDATE,4.78,226,83.92494032
CONFIRMED,6.96,998,5.007316661
CONFIRMED,1.85,931,2.211116989
CONFIRMED,1.9,400,27.9541337
CONFIRMED,2.57,1008,12.69104387
FALSE POSITIVE,10.95,1101,4.409409243
CONFIRMED,4.14,598,16.23947096
CONFIRMED,13.12,1497,2.052349884
CONFIRMED,2.23,460,9.770448599999998
CONFIRMED,1.66,569,5.169804269
CONFIRMED,2.48,771,21.22261195
CONFIRMED,2.25,362,20.09017037
CONFIRMED,1.16,429,7.11373257
CONFIRMED,0.91,554,3.306551643
CONFIRMED,1.11,332,15.36845737
CANDIDATE,4.56,833,13.81020318
CONFIRMED,2.85,1182,4.093578461
CONFIRMED,3.43,401,105.145959
CONFIRMED,2.34,499,10.848451800000001
CONFIRMED,10.55,1016,4.082274889
CANDIDATE,1.87,1010,3.8866552239999996
CONFIRMED,1.85,349,42.1406089
CONFIRMED,1.75,559,10.19849255
FALSE POSITIVE,4.33,950,5.795063956
CONFIRMED,2.47,782,7.15681552
CONFIRMED,2.43,579,17.64830851
CONFIRMED,2.72,655,16.51410989
CONFIRMED,1.36,990,4.79090809
CONFIRMED,3.09,743,31.71981013
CONFIRMED,2.64,360,99.64159620000001
CONFIRMED,10.6,1162,4.7083264510000005
FALSE POSITIVE,540.37,438,16.37198661
CONFIRMED,2.68,850,5.392026903
CONFIRMED,9.66,1062,6.491682807999999
FALSE POSITIVE,24.54,1076,3.0447707960000003
CONFIRMED,13.61,1212,3.855603916
FALSE POSITIVE,3.57,1158,3.8555991389999997
CONFIRMED,13.26,484,38.47876629
FALSE POSITIVE,27.22,606,37.60166128
CONFIRMED,3.94,1155,3.314947362
FALSE POSITIVE,4.37,952,6.71969089
CONFIRMED,10.98,472,39.6431552
CONFIRMED,2.6,543,21.80451611
CONFIRMED,2.53,680,10.28194593
CONFIRMED,2.95,563,18.11993039
CONFIRMED,1.7,949,3.78402867
CONFIRMED,2.94,964,5.15448142
FALSE POSITIVE,20.7,745,33.80364366
CONFIRMED,3.13,982,5.743469797
CANDIDATE,4.06,577,39.4759093
FALSE POSITIVE,26.56,700,19.97448524
CONFIRMED,3.82,1273,3.166353562
FALSE POSITIVE,44.04,652,23.89963441
CONFIRMED,2.06,1097,5.83909761
CONFIRMED,1.57,1681,1.620467654
CONFIRMED,2.3,897,10.6816951
CONFIRMED,3.18,784,6.1048494170000005
CONFIRMED,10.43,1145,3.5787805660000003
FALSE POSITIVE,23.88,1079,3.187067566
CONFIRMED,4.09,1013,5.826657507999999
CONFIRMED,2.58,787,12.41216347
CONFIRMED,3.05,686,18.74649011
CONFIRMED,5.22,615,42.63427848
CONFIRMED,4.0,484,87.64760679999999
CONFIRMED,2.13,407,9.467821473999999
CONFIRMED,10.62,1008,4.9427834189999995
CONFIRMED,2.74,595,20.83426731
CONFIRMED,3.12,807,9.94602357
CONFIRMED,1.45,1710,1.04562195
CONFIRMED,1.78,971,5.71462396
CANDIDATE,39.0,797,102.9641952
CONFIRMED,3.43,1050,8.14515981
CONFIRMED,43.17,792,18.9985279
CONFIRMED,2.07,1305,4.24439049
CANDIDATE,7.12,485,90.1240507
CONFIRMED,2.32,538,28.5742692
CANDIDATE,1.32,1943,0.689210173
FALSE POSITIVE,59.56,3000,0.379463865
FALSE POSITIVE,23.6,860,9.88047978
FALSE POSITIVE,13.66,804,17.51201477
FALSE POSITIVE,34.39,3145,3.9886021
FALSE POSITIVE,23.61,2073,0.525154153
FALSE POSITIVE,27.85,1610,1.303861044
FALSE POSITIVE,23.35,1312,2.55549176
FALSE POSITIVE,403.59,2404,2.9473766710000002
FALSE POSITIVE,7.47,1964,5.76573396
FALSE POSITIVE,17.12,1922,0.73094589
CONFIRMED,13.92,1171,18.92537246
FALSE POSITIVE,3.22,2863,0.9337491059999999
FALSE POSITIVE,1.19,1572,2.037440623
CONFIRMED,1.78,688,31.5925809
CONFIRMED,8.78,753,1.97376085
CANDIDATE,8.25,1768,13.11896244
FALSE POSITIVE,7.48,1170,4.618767792
FALSE POSITIVE,2.78,2101,7.82187328
CANDIDATE,2.52,675,53.5057611
CONFIRMED,1.69,1784,2.7858212360000003
FALSE POSITIVE,78.54,737,52.56901867
CANDIDATE,2.01,985,6.79685353
FALSE POSITIVE,67.37,1303,8.667822346
CONFIRMED,5.88,2740,1.4753232219999999
CONFIRMED,7.62,1941,4.15246118
CONFIRMED,1.59,890,8.734885199999999
FALSE POSITIVE,1.81,770,10.26547688
CANDIDATE,5.24,848,13.4471791
FALSE POSITIVE,25.89,1027,3.3055779889999997
FALSE POSITIVE,16.91,1347,4.8006539010000004
FALSE POSITIVE,56.44,932,15.06649901
FALSE POSITIVE,11.36,459,34.82008158
FALSE POSITIVE,33.65,2090,0.651784374
CANDIDATE,430.99,4903,1.353771892
FALSE POSITIVE,71.39,1139,18.95491633
FALSE POSITIVE,12.1,588,67.59237540000001
CONFIRMED,2.54,755,17.02902786
CONFIRMED,1.67,1022,6.84619236
CONFIRMED,2.39,476,67.83216379999999
CONFIRMED,2.48,695,25.93406406
CONFIRMED,2.73,471,83.4463485
CONFIRMED,2.03,866,12.99204853
FALSE POSITIVE,8.96,853,11.11620211
FALSE POSITIVE,5.09,1392,1.9228614990000001
FALSE POSITIVE,19.0,1177,0.635445336
FALSE POSITIVE,97.27,2636,1.665784138
CONFIRMED,7.14,592,52.09081627
CONFIRMED,1.92,782,8.18739443
CONFIRMED,1.67,1356,3.341799486
FALSE POSITIVE,38.6,602,36.97708808
FALSE POSITIVE,0.98,2393,1.303859704
FALSE POSITIVE,40.15,387,145.56249259999998
CONFIRMED,1.68,1160,3.749105745
CONFIRMED,3.51,1422,11.08956602
FALSE POSITIVE,0.65,837,7.24476126
CANDIDATE,10.4,366,119.0624882
CONFIRMED,2.01,543,8.70798309
FALSE POSITIVE,1.57,454,14.8623076
CONFIRMED,3.63,734,27.40229859
CONFIRMED,1.21,1101,3.1792672860000004
CONFIRMED,2.82,505,24.5709023
FALSE POSITIVE,2.92,1784,0.817026268
CONFIRMED,12.14,1489,3.024092505
CANDIDATE,5.85,341,5.670155713
CONFIRMED,1.14,1734,1.0226786540000001
CONFIRMED,2.98,1005,12.10968709
CONFIRMED,1.7,1372,4.75796103
CONFIRMED,2.96,843,20.4972755
FALSE POSITIVE,0.62,679,13.55480534
FALSE POSITIVE,20.06,455,29.74454668
FALSE POSITIVE,53.25,777,14.15402428
FALSE POSITIVE,35.27,1864,0.844786082
FALSE POSITIVE,32.11,1908,0.8484839470000001
FALSE POSITIVE,37.47,880,11.99097576
CONFIRMED,3.7,563,31.8841473
CANDIDATE,86.13,660,16.15811112
CONFIRMED,1.62,750,12.06222962
CONFIRMED,1.75,618,21.85362905
CONFIRMED,1.74,1144,8.19345065
FALSE POSITIVE,6.85,1351,19.97867
FALSE POSITIVE,2.02,1285,15.45158184
FALSE POSITIVE,102.08,554,89.69816853
CANDIDATE,67.35,2251,1.187352427
CONFIRMED,1.85,932,4.77800306
FALSE POSITIVE,5.33,903,7.8148392310000006
FALSE POSITIVE,3.6,557,29.7452499
CONFIRMED,2.26,1007,5.32667299
FALSE POSITIVE,21.81,1101,2.988085455
FALSE POSITIVE,23.05,2216,0.393727296
CANDIDATE,3.29,858,8.17242644
CONFIRMED,1.45,734,13.0607936
CANDIDATE,2.12,1046,4.298920099999999
FALSE POSITIVE,22.32,521,25.9518461
FALSE POSITIVE,24.6,494,25.951853600000003
FALSE POSITIVE,27.36,1060,15.66388695
FALSE POSITIVE,16.94,1232,4.020628573
CANDIDATE,9.29,943,5.714817602999999
FALSE POSITIVE,14.35,2170,2.897432135
CONFIRMED,2.86,748,8.70420525
CONFIRMED,1.39,875,8.1280933
CANDIDATE,1.19,1242,2.83668931
CONFIRMED,1.16,1612,0.9748688959999999
CONFIRMED,1.48,904,4.89721006
FALSE POSITIVE,20.05,1231,2.7577941630000002
FALSE POSITIVE,13.63,1646,1.914158508
FALSE POSITIVE,19.51,2011,0.6437941979999999
CONFIRMED,3.42,875,16.08832318
CONFIRMED,3.02,671,35.675745299999996
FALSE POSITIVE,36.14,375,161.7883271
CONFIRMED,2.54,548,16.56806842
FALSE POSITIVE,0.82,1881,0.8568953490000001
CONFIRMED,3.71,772,40.8065333
CONFIRMED,1.56,1139,2.46697039
CANDIDATE,5.11,1164,2.624234833
CONFIRMED,2.98,1066,6.61836309
CONFIRMED,4.75,421,107.7214092
FALSE POSITIVE,37.15,952,5.251916208
FALSE POSITIVE,29.55,313,100.3039228
FALSE POSITIVE,43.98,2308,0.9866202479999999
CONFIRMED,2.73,739,14.12847677
CONFIRMED,2.0,984,8.39842977
CONFIRMED,5.99,1419,8.63847391
CONFIRMED,3.42,511,140.10765
CONFIRMED,1.17,1156,3.4815917
FALSE POSITIVE,40.35,1263,8.360616221
FALSE POSITIVE,4.86,1426,1.8385149680000001
CONFIRMED,5.17,456,35.61760233
FALSE POSITIVE,1.29,1611,1.09206833
CONFIRMED,1.95,767,10.12805158
FALSE POSITIVE,1.25,1680,1.613001111
CONFIRMED,12.05,1302,3.770551475
FALSE POSITIVE,15.25,356,29.12436474
FALSE POSITIVE,35.8,564,31.82814583
FALSE POSITIVE,3.28,1434,3.629442796
FALSE POSITIVE,2.74,883,7.44042933
CONFIRMED,4.56,881,6.581477136
CONFIRMED,2.9,657,11.51517167
CONFIRMED,4.91,899,7.641567589
FALSE POSITIVE,19.68,317,30.6113932
CONFIRMED,2.01,938,7.40742502
FALSE POSITIVE,38.98,296,569.934135
FALSE POSITIVE,1.17,844,5.09246539
FALSE POSITIVE,1.37,1471,1.103971357
CONFIRMED,2.05,484,6.877446032999999
CONFIRMED,2.0,448,42.89645024
FALSE POSITIVE,1.44,1282,2.44199803
CANDIDATE,2.32,621,30.5872153
CONFIRMED,0.74,425,7.09712124
FALSE POSITIVE,1.19,1551,2.6827682999999998
CONFIRMED,2.31,996,3.6014653360000004
CANDIDATE,4.43,1096,3.1082511719999997
CANDIDATE,2.7,578,40.715561
FALSE POSITIVE,4.42,674,20.42720701
FALSE POSITIVE,19.81,985,6.198273591
FALSE POSITIVE,3.78,1727,1.0234717979999999
CONFIRMED,2.04,454,17.31711739
CONFIRMED,4.39,1163,9.42889884
FALSE POSITIVE,1.35,1474,1.096583368
CANDIDATE,1.67,804,6.50327035
CANDIDATE,1.42,938,4.09667624
CONFIRMED,1.25,1414,1.1965484640000001
CONFIRMED,1.71,756,25.2630467
CONFIRMED,0.9,2099,0.677374687
CONFIRMED,0.94,850,7.41084314
CONFIRMED,2.37,530,24.58716355
CONFIRMED,3.24,775,12.53248222
CONFIRMED,4.18,642,13.19720694
CONFIRMED,5.94,720,14.85890852
FALSE POSITIVE,2.93,1045,2.8666803339999998
CONFIRMED,3.24,679,17.44486016
FALSE POSITIVE,37.99,1246,8.30697421
CANDIDATE,7.62,855,22.65117451
FALSE POSITIVE,1.19,1564,1.204274435
CANDIDATE,0.9,502,7.71790675
CONFIRMED,2.21,641,27.6652847
FALSE POSITIVE,36.87,2103,0.9489507340000001
CONFIRMED,4.32,879,14.55730897
FALSE POSITIVE,57.77,2351,0.635069939
CANDIDATE,26.06,1626,6.8108237229999995
FALSE POSITIVE,25.54,1508,0.933746515
FALSE POSITIVE,5.65,1298,1.8724217269999999
CONFIRMED,3.05,470,33.6528474
CONFIRMED,1.94,514,5.90127815
CONFIRMED,1.83,451,8.75209691
CONFIRMED,2.17,328,22.78078241
CONFIRMED,1.47,1026,0.742957911
FALSE POSITIVE,38.81,566,54.35635067
FALSE POSITIVE,18.93,1837,0.54624855
CONFIRMED,2.7,632,18.82744023
FALSE POSITIVE,1.71,590,8.4120069
CONFIRMED,1.86,641,5.7477119089999995
CONFIRMED,9.83,434,86.67856052
FALSE POSITIVE,72.52,1211,8.387210055
FALSE POSITIVE,9.84,829,15.2384539
FALSE POSITIVE,2.08,1075,6.47179275
CANDIDATE,5.4,383,64.617518
CONFIRMED,2.77,629,13.21409607
CONFIRMED,4.66,1131,3.584101048
CONFIRMED,21.42,3559,1.763587535
CONFIRMED,10.63,1308,5.014234733
CONFIRMED,3.1,879,8.11528727
CONFIRMED,3.01,530,36.9250409
FALSE POSITIVE,10.05,262,37.478349200000004
FALSE POSITIVE,34.0,1197,8.09695764
CONFIRMED,1.64,758,14.559855599999999
FALSE POSITIVE,47.75,3271,0.528755447
CONFIRMED,2.59,990,6.10027621
CANDIDATE,6.57,449,51.59809554
CONFIRMED,2.28,809,8.408878137
CONFIRMED,2.41,777,10.93725572
CONFIRMED,1.52,1200,2.97136658
CONFIRMED,3.08,350,158.68500219999999
CONFIRMED,2.45,1051,7.03902016
CANDIDATE,2.53,486,21.76129812
CANDIDATE,2.31,181,12.71379418
FALSE POSITIVE,15.61,614,15.80110003
FALSE POSITIVE,268.65,1268,1.739428983
FALSE POSITIVE,14.49,2378,1.217266418
FALSE POSITIVE,23.76,965,19.56309252
FALSE POSITIVE,5.67,1118,3.7228551
FALSE POSITIVE,24.19,764,48.93786896
FALSE POSITIVE,23.6,1039,5.48990788
CONFIRMED,8.19,366,161.52783469999997
FALSE POSITIVE,1.45,1488,0.73093905
CONFIRMED,2.0,865,8.01500821
FALSE POSITIVE,12.93,919,0.933749941
CANDIDATE,2.36,840,7.0539344879999994
CONFIRMED,0.68,991,4.29263699
CANDIDATE,2.8,957,7.6746614
CONFIRMED,0.78,525,1.213770423
CONFIRMED,0.76,729,0.453287416
FALSE POSITIVE,13.95,985,10.81013273
FALSE POSITIVE,51.86,955,7.047103498999999
FALSE POSITIVE,33.01,1794,1.073917869
FALSE POSITIVE,32.66,1252,4.2060968139999995
FALSE POSITIVE,8.88,1400,2.2277187919999997
FALSE POSITIVE,27.21,1646,0.591914504
CONFIRMED,2.83,437,36.7704935
CONFIRMED,2.32,594,14.58932429
CANDIDATE,0.86,1589,0.764017553
CONFIRMED,2.19,273,59.87802579999999
CANDIDATE,2.58,540,20.51360192
CONFIRMED,6.39,409,74.92768653
CANDIDATE,32.6,325,150.01895109999998
CONFIRMED,1.5,713,2.613020421
CONFIRMED,1.79,1361,0.927859786
CANDIDATE,4.68,298,205.912735
CONFIRMED,1.72,1157,7.10695741
CANDIDATE,1.98,2149,0.783276173
CONFIRMED,1.76,1425,2.1395562999999997
CONFIRMED,2.96,1088,4.807103253999999
CONFIRMED,5.68,1378,10.500771199999999
CONFIRMED,1.38,1131,2.6338525280000002
CONFIRMED,1.21,851,6.18670882
CONFIRMED,1.2,1367,1.7963209530000002
CONFIRMED,1.31,919,5.9142668
CONFIRMED,3.11,807,14.00640392
CONFIRMED,2.18,1212,3.5465318089999998
CONFIRMED,2.03,1035,5.70070626
CONFIRMED,2.26,563,20.8341497
CONFIRMED,2.13,808,7.0556584
CONFIRMED,2.11,540,10.47548084
CONFIRMED,2.08,416,22.92886314
CONFIRMED,2.63,277,77.47409909999999
CANDIDATE,7.79,241,345.15893539999996
CONFIRMED,2.68,946,6.88595222
CANDIDATE,8.48,415,99.6442783
FALSE POSITIVE,1.88,1460,3.125814002
FALSE POSITIVE,1.71,857,10.80487163
CONFIRMED,1.81,539,29.221495899999997
CONFIRMED,3.35,513,44.852099700000004
CONFIRMED,2.88,667,20.34237838
CONFIRMED,3.4,376,118.3786735
CONFIRMED,3.0,730,23.58444746
CONFIRMED,1.46,1001,3.71545593
CONFIRMED,3.04,657,19.25404023
CONFIRMED,1.6,729,15.0549356
CONFIRMED,1.29,1258,2.92721119
CONFIRMED,1.77,534,38.2856338
CONFIRMED,1.18,1054,2.343230566
FALSE POSITIVE,34.83,2113,2.73987398
FALSE POSITIVE,1177.65,409,85.34092607
FALSE POSITIVE,45.05,2070,0.7820457340000001
FALSE POSITIVE,23.23,1982,0.576078683
CONFIRMED,3.07,1163,10.1171684
CONFIRMED,4.23,817,19.12947603
CONFIRMED,2.04,1164,6.1469955999999994
CONFIRMED,3.88,466,54.15583839999999
CONFIRMED,14.92,1640,3.5484654460000002
CONFIRMED,1.55,1848,0.567856484
FALSE POSITIVE,44.2,301,251.0597249
CONFIRMED,2.2,516,40.715049799999996
CONFIRMED,1.28,1278,2.508553286
CONFIRMED,1.66,725,13.75129636
FALSE POSITIVE,269.98,4958,0.8857474559999999
CONFIRMED,1.29,507,8.041347775
FALSE POSITIVE,11.9,398,78.9257421
FALSE POSITIVE,38.93,907,9.991625291
CANDIDATE,1.9,1132,6.84639884
CONFIRMED,1.84,849,10.30401132
FALSE POSITIVE,58.56,1311,2.171827838
CANDIDATE,2.25,1449,3.0161820130000003
CONFIRMED,1.69,857,6.8833760999999996
FALSE POSITIVE,1.45,1816,0.833980196
FALSE POSITIVE,1.33,1484,1.926353494
FALSE POSITIVE,20.57,2022,0.8907373590000001
CONFIRMED,7.79,325,394.6249514
CONFIRMED,1.59,995,7.19304935
FALSE POSITIVE,13.4,801,1.5065071719999998
FALSE POSITIVE,44.22,1611,1.634614356
FALSE POSITIVE,1069.01,657,16.02501898
CONFIRMED,9.01,668,10.50682978
FALSE POSITIVE,14.77,741,17.72724392
CANDIDATE,7.25,310,321.2124365
FALSE POSITIVE,49.96,1622,7.13895376
FALSE POSITIVE,3.07,1601,4.4645454
FALSE POSITIVE,1.66,669,19.30112039
FALSE POSITIVE,49.25,2124,1.20320092
CONFIRMED,3.26,1251,5.9687240479999994
FALSE POSITIVE,21.94,821,10.9802462
CONFIRMED,59.19,1736,2.1446322380000002
FALSE POSITIVE,21.58,531,27.32204488
CONFIRMED,11.21,433,133.460999
CANDIDATE,3.69,893,15.19423359
FALSE POSITIVE,4.19,608,14.17098745
CONFIRMED,7.45,1124,3.9901059080000003
FALSE POSITIVE,27.16,2022,0.52205862
CONFIRMED,4.42,786,10.03538181
FALSE POSITIVE,4.52,1491,5.80181368
FALSE POSITIVE,18.11,640,15.640251500000002
FALSE POSITIVE,0.58,2031,0.691666384
CONFIRMED,1.37,992,5.62154315
FALSE POSITIVE,0.52,1255,1.0741069540000001
FALSE POSITIVE,28.41,1130,5.117401517
CONFIRMED,1.9,900,8.50698069
FALSE POSITIVE,6.17,1419,15.60865244
CONFIRMED,1.13,1983,0.669310092
FALSE POSITIVE,62.11,1667,4.494498254
FALSE POSITIVE,25.72,1660,1.061934816
CONFIRMED,1.48,419,11.41926141
FALSE POSITIVE,61.63,996,5.93821065
FALSE POSITIVE,31.77,3162,0.6550016160000001
FALSE POSITIVE,19.78,633,8.65306587
FALSE POSITIVE,25.03,1357,3.221785738
FALSE POSITIVE,29.45,1639,0.6243875
FALSE POSITIVE,55.23,686,18.61009258
CONFIRMED,2.38,640,13.22175358
FALSE POSITIVE,42.74,1746,1.1375250540000001
CONFIRMED,1.61,1187,7.16893064
FALSE POSITIVE,48.79,1859,1.22775877
FALSE POSITIVE,97.54,768,40.24649897
FALSE POSITIVE,20.74,2000,2.27999662
CONFIRMED,2.41,850,5.729317577000001
CONFIRMED,1.71,671,11.60908533
CANDIDATE,11.52,437,162.04795019999997
CONFIRMED,3.43,489,40.05881661
CONFIRMED,2.22,1197,6.09747233
CONFIRMED,3.68,570,56.637918000000006
FALSE POSITIVE,1.37,1167,2.243016513
FALSE POSITIVE,22.58,772,8.6531216
CONFIRMED,2.78,960,8.99088621
FALSE POSITIVE,15.57,570,34.06456641
FALSE POSITIVE,7.21,1016,1.744101106
FALSE POSITIVE,18.75,966,7.9811871210000005
FALSE POSITIVE,4.48,1067,4.118775582
CANDIDATE,2.12,797,1.694740233
FALSE POSITIVE,50.75,1754,0.971933156
FALSE POSITIVE,379.63,358,121.59912779999999
FALSE POSITIVE,16.43,742,15.06806077
CONFIRMED,8.99,996,7.886632467999999
CONFIRMED,8.43,824,8.027681122999999
CONFIRMED,3.88,543,50.28635977
CANDIDATE,2.57,634,22.79020351
CANDIDATE,1.47,760,13.26079792
FALSE POSITIVE,2.29,2508,1.061932545
CONFIRMED,9.46,554,127.8334997
CONFIRMED,2.94,799,15.573637
CONFIRMED,2.92,583,40.101556099999996
FALSE POSITIVE,2.47,774,5.663621501000001
CANDIDATE,3.7,875,6.230335
CONFIRMED,2.54,895,6.62643441
CONFIRMED,1.62,1087,3.70122061
CANDIDATE,1.89,512,6.247030799
CONFIRMED,3.45,939,14.55387488
FALSE POSITIVE,9.27,4253,0.895277575
CONFIRMED,3.01,511,81.0637895
